Batch Name,Number of Ballots
IONIA COUNTY BOSTON TOWNSHIP 00001,427
IONIA COUNTY BOSTON TOWNSHIP 00002,493
IONIA COUNTY BOSTON TOWNSHIP 00003,455
IONIA COUNTY CAMPBELL TOWNSHIP 00001,564
IONIA COUNTY DANBY TOWNSHIP 00001,679
IONIA COUNTY EASTON TOWNSHIP 00001,341
IONIA COUNTY EASTON TOWNSHIP 00002,389
IONIA COUNTY IONIA CITY 01001,382
IONIA COUNTY IONIA CITY 02001,345
IONIA COUNTY IONIA CITY 03001,346
IONIA COUNTY IONIA CITY 04001,338
IONIA COUNTY IONIA TOWNSHIP 00001,908
IONIA COUNTY KEENE TOWNSHIP 00001,394
IONIA COUNTY LYONS TOWNSHIP 00001,294
IONIA COUNTY LYONS TOWNSHIP 00002,286
IONIA COUNTY LYONS TOWNSHIP 00003,216
IONIA COUNTY NORTH PLAINS TOWNSHIP 00001,281
IONIA COUNTY ODESSA TOWNSHIP 00001,459
IONIA COUNTY ODESSA TOWNSHIP 00002,412
IONIA COUNTY ORANGE TOWNSHIP 00001,239
IONIA COUNTY ORLEANS TOWNSHIP 00001,589
IONIA COUNTY OTISCO TOWNSHIP 00001,539
IONIA COUNTY PORTLAND CITY 00001,830
IONIA COUNTY PORTLAND TOWNSHIP 00001,419
IONIA COUNTY PORTLAND TOWNSHIP 00002,417
IONIA COUNTY RONALD TOWNSHIP 00001,419
IONIA COUNTY SEBEWA TOWNSHIP 00001,268
IOSCO COUNTY ALABASTER TOWNSHIP 00001,130
IOSCO COUNTY AU SABLE TOWNSHIP 00001,533
IOSCO COUNTY BALDWIN TOWNSHIP 00001,480
IOSCO COUNTY BURLEIGH TOWNSHIP 00001,172
IOSCO COUNTY EAST TAWAS CITY 00001,669
IOSCO COUNTY GRANT TOWNSHIP 00001,425
IOSCO COUNTY OSCODA TOWNSHIP 00001,603
IOSCO COUNTY OSCODA TOWNSHIP 00002,284
IOSCO COUNTY OSCODA TOWNSHIP 00003,464
IOSCO COUNTY OSCODA TOWNSHIP 00004,497
IOSCO COUNTY PLAINFIELD TOWNSHIP 00001,341
IOSCO COUNTY PLAINFIELD TOWNSHIP 00002,569
IOSCO COUNTY RENO TOWNSHIP 00001,135
IOSCO COUNTY SHERMAN TOWNSHIP 00001,105
IOSCO COUNTY TAWAS TOWNSHIP 00001,418
IOSCO COUNTY TAWAS CITY CITY 00001,395
IOSCO COUNTY WHITTEMORE CITY 00001,101
IOSCO COUNTY WILBER TOWNSHIP 00001,198
IRON COUNTY BATES TOWNSHIP 00001,254
IRON COUNTY CASPIAN CITY 00001,194
IRON COUNTY CRYSTAL FALLS CITY 00001,407
IRON COUNTY CRYSTAL FALLS TOWNSHIP 00001,409
IRON COUNTY GAASTRA CITY 00001,84
IRON COUNTY HEMATITE TOWNSHIP 00001,68
IRON COUNTY IRON RIVER CITY 00001,353
IRON COUNTY IRON RIVER CITY 00002,339
IRON COUNTY IRON RIVER TOWNSHIP 00001,293
IRON COUNTY MANSFIELD TOWNSHIP 00001,73
IRON COUNTY MASTODON TOWNSHIP 00001,149
IRON COUNTY MASTODON TOWNSHIP 00002,26
IRON COUNTY STAMBAUGH TOWNSHIP 00001,343
ISABELLA COUNTY BROOMFIELD TOWNSHIP 00001,424
ISABELLA COUNTY CHIPPEWA TOWNSHIP 00001,674
ISABELLA COUNTY CHIPPEWA TOWNSHIP 00002,370
ISABELLA COUNTY CLARE CITY 00001,13
ISABELLA COUNTY COE TOWNSHIP 00001,388
ISABELLA COUNTY COE TOWNSHIP 00002,303
ISABELLA COUNTY COLDWATER TOWNSHIP 00001,197
ISABELLA COUNTY DEERFIELD TOWNSHIP 00001,523
ISABELLA COUNTY DEERFIELD TOWNSHIP 00002,291
ISABELLA COUNTY DENVER TOWNSHIP 00001,251
ISABELLA COUNTY FREMONT TOWNSHIP 00001,312
ISABELLA COUNTY GILMORE TOWNSHIP 00001,321
ISABELLA COUNTY ISABELLA TOWNSHIP 00001,504
ISABELLA COUNTY LINCOLN TOWNSHIP 00001,471
ISABELLA COUNTY MOUNT PLEASANT CITY 00001,599
ISABELLA COUNTY MOUNT PLEASANT CITY 00002,666
ISABELLA COUNTY MOUNT PLEASANT CITY 00003,573
ISABELLA COUNTY MOUNT PLEASANT CITY 00004,675
ISABELLA COUNTY MOUNT PLEASANT CITY 00005,284
ISABELLA COUNTY MOUNT PLEASANT CITY 00006,676
ISABELLA COUNTY MOUNT PLEASANT CITY 00007,312
ISABELLA COUNTY NOTTAWA TOWNSHIP 00001,526
ISABELLA COUNTY ROLLAND TOWNSHIP 00001,264
ISABELLA COUNTY SHERMAN TOWNSHIP 00001,753
ISABELLA COUNTY UNION TOWNSHIP 00001,500
ISABELLA COUNTY UNION TOWNSHIP 00002,1065
ISABELLA COUNTY UNION TOWNSHIP 00003,643
ISABELLA COUNTY VERNON TOWNSHIP 00001,307
ISABELLA COUNTY WISE TOWNSHIP 00001,276
JACKSON COUNTY BLACKMAN TOWNSHIP 00001,772
JACKSON COUNTY BLACKMAN TOWNSHIP 00002,919
JACKSON COUNTY BLACKMAN TOWNSHIP 00003,948
JACKSON COUNTY BLACKMAN TOWNSHIP 00004,924
JACKSON COUNTY BLACKMAN TOWNSHIP 00005,738
JACKSON COUNTY COLUMBIA TOWNSHIP 00001,628
JACKSON COUNTY COLUMBIA TOWNSHIP 00002,498
JACKSON COUNTY COLUMBIA TOWNSHIP 00003,738
JACKSON COUNTY CONCORD TOWNSHIP 00001,609
JACKSON COUNTY GRASS LAKE CHARTER TOWNSHIP 00001,592
JACKSON COUNTY GRASS LAKE CHARTER TOWNSHIP 00002,549
JACKSON COUNTY GRASS LAKE CHARTER TOWNSHIP 00003,264
JACKSON COUNTY HANOVER TOWNSHIP 00001,390
JACKSON COUNTY HANOVER TOWNSHIP 00002,473
JACKSON COUNTY HENRIETTA TOWNSHIP 00001,499
JACKSON COUNTY HENRIETTA TOWNSHIP 00002,593
JACKSON COUNTY JACKSON CITY 01001,533
JACKSON COUNTY JACKSON CITY 01002,592
JACKSON COUNTY JACKSON CITY 02001,533
JACKSON COUNTY JACKSON CITY 02002,424
JACKSON COUNTY JACKSON CITY 03001,241
JACKSON COUNTY JACKSON CITY 03002,487
JACKSON COUNTY JACKSON CITY 03003,378
JACKSON COUNTY JACKSON CITY 04001,439
JACKSON COUNTY JACKSON CITY 04002,383
JACKSON COUNTY JACKSON CITY 04003,395
JACKSON COUNTY JACKSON CITY 05001,236
JACKSON COUNTY JACKSON CITY 05002,314
JACKSON COUNTY JACKSON CITY 05003,371
JACKSON COUNTY JACKSON CITY 06001,376
JACKSON COUNTY JACKSON CITY 06002,436
JACKSON COUNTY JACKSON CITY 06003,441
JACKSON COUNTY LEONI TOWNSHIP 00001,912
JACKSON COUNTY LEONI TOWNSHIP 00002,878
JACKSON COUNTY LEONI TOWNSHIP 00003,732
JACKSON COUNTY LEONI TOWNSHIP 00004,676
JACKSON COUNTY LIBERTY TOWNSHIP 00001,442
JACKSON COUNTY LIBERTY TOWNSHIP 00002,310
JACKSON COUNTY NAPOLEON TOWNSHIP 00001,557
JACKSON COUNTY NAPOLEON TOWNSHIP 00002,498
JACKSON COUNTY NAPOLEON TOWNSHIP 00003,559
JACKSON COUNTY NORVELL TOWNSHIP 00001,301
JACKSON COUNTY NORVELL TOWNSHIP 00002,395
JACKSON COUNTY PARMA TOWNSHIP 00001,612
JACKSON COUNTY PULASKI TOWNSHIP 00001,419
JACKSON COUNTY RIVES TOWNSHIP 00001,641
JACKSON COUNTY RIVES TOWNSHIP 00002,449
JACKSON COUNTY SANDSTONE TOWNSHIP 00001,376
JACKSON COUNTY SANDSTONE TOWNSHIP 00002,268
JACKSON COUNTY SANDSTONE TOWNSHIP 00003,248
JACKSON COUNTY SPRING ARBOR TOWNSHIP 00001,863
JACKSON COUNTY SPRING ARBOR TOWNSHIP 00002,779
JACKSON COUNTY SPRINGPORT TOWNSHIP 00001,464
JACKSON COUNTY SUMMIT TOWNSHIP 00001,641
JACKSON COUNTY SUMMIT TOWNSHIP 00002,702
JACKSON COUNTY SUMMIT TOWNSHIP 00003,621
JACKSON COUNTY SUMMIT TOWNSHIP 00004,643
JACKSON COUNTY SUMMIT TOWNSHIP 00005,587
JACKSON COUNTY SUMMIT TOWNSHIP 00006,422
JACKSON COUNTY SUMMIT TOWNSHIP 00007,842
JACKSON COUNTY SUMMIT TOWNSHIP 00008,750
JACKSON COUNTY TOMPKINS TOWNSHIP 00001,627
JACKSON COUNTY WATERLOO TOWNSHIP 00001,686
KALAMAZOO COUNTY ALAMO TOWNSHIP 00001,342
KALAMAZOO COUNTY ALAMO TOWNSHIP 00002,596
KALAMAZOO COUNTY BRADY TOWNSHIP 00001,579
KALAMAZOO COUNTY BRADY TOWNSHIP 00002,452
KALAMAZOO COUNTY CHARLESTON TOWNSHIP 00001,457
KALAMAZOO COUNTY CLIMAX TOWNSHIP 00001,542
KALAMAZOO COUNTY COMSTOCK TOWNSHIP 00001,567
KALAMAZOO COUNTY COMSTOCK TOWNSHIP 00002,662
KALAMAZOO COUNTY COMSTOCK TOWNSHIP 00003,597
KALAMAZOO COUNTY COMSTOCK TOWNSHIP 00004,442
KALAMAZOO COUNTY COMSTOCK TOWNSHIP 00005,456
KALAMAZOO COUNTY COMSTOCK TOWNSHIP 00006,385
KALAMAZOO COUNTY COMSTOCK TOWNSHIP 00007,493
KALAMAZOO COUNTY COOPER TOWNSHIP 00001,327
KALAMAZOO COUNTY COOPER TOWNSHIP 00002,388
KALAMAZOO COUNTY COOPER TOWNSHIP 00003,779
KALAMAZOO COUNTY COOPER TOWNSHIP 00004,716
KALAMAZOO COUNTY COOPER TOWNSHIP 00005,216
KALAMAZOO COUNTY GALESBURG CITY 00001,451
KALAMAZOO COUNTY KALAMAZOO CITY 00001,550
KALAMAZOO COUNTY KALAMAZOO CITY 00002,994
KALAMAZOO COUNTY KALAMAZOO CITY 00003,628
KALAMAZOO COUNTY KALAMAZOO CITY 00004,599
KALAMAZOO COUNTY KALAMAZOO CITY 00005,946
KALAMAZOO COUNTY KALAMAZOO CITY 00006,582
KALAMAZOO COUNTY KALAMAZOO CITY 00007,791
KALAMAZOO COUNTY KALAMAZOO CITY 00008,671
KALAMAZOO COUNTY KALAMAZOO CITY 00009,636
KALAMAZOO COUNTY KALAMAZOO CITY 00010,724
KALAMAZOO COUNTY KALAMAZOO CITY 00011,550
KALAMAZOO COUNTY KALAMAZOO CITY 00012,591
KALAMAZOO COUNTY KALAMAZOO CITY 00013,499
KALAMAZOO COUNTY KALAMAZOO CITY 00014,481
KALAMAZOO COUNTY KALAMAZOO CITY 00015,716
KALAMAZOO COUNTY KALAMAZOO CITY 00016,602
KALAMAZOO COUNTY KALAMAZOO CITY 00017,549
KALAMAZOO COUNTY KALAMAZOO CITY 00018,542
KALAMAZOO COUNTY KALAMAZOO CITY 00019,788
KALAMAZOO COUNTY KALAMAZOO CITY 00020,677
KALAMAZOO COUNTY KALAMAZOO CITY 00021,414
KALAMAZOO COUNTY KALAMAZOO CITY 00022,762
KALAMAZOO COUNTY KALAMAZOO CITY 00023,379
KALAMAZOO COUNTY KALAMAZOO CITY 00024,364
KALAMAZOO COUNTY KALAMAZOO CITY 00025,446
KALAMAZOO COUNTY KALAMAZOO CITY 00026,540
KALAMAZOO COUNTY KALAMAZOO CITY 00027,470
KALAMAZOO COUNTY KALAMAZOO TOWNSHIP 00001,202
KALAMAZOO COUNTY KALAMAZOO TOWNSHIP 00002,471
KALAMAZOO COUNTY KALAMAZOO TOWNSHIP 00003,812
KALAMAZOO COUNTY KALAMAZOO TOWNSHIP 00004,518
KALAMAZOO COUNTY KALAMAZOO TOWNSHIP 00005,395
KALAMAZOO COUNTY KALAMAZOO TOWNSHIP 00006,590
KALAMAZOO COUNTY KALAMAZOO TOWNSHIP 00007,711
KALAMAZOO COUNTY KALAMAZOO TOWNSHIP 00008,619
KALAMAZOO COUNTY KALAMAZOO TOWNSHIP 00009,410
KALAMAZOO COUNTY KALAMAZOO TOWNSHIP 00010,680
KALAMAZOO COUNTY OSHTEMO TOWNSHIP 00001,390
KALAMAZOO COUNTY OSHTEMO TOWNSHIP 00002,756
KALAMAZOO COUNTY OSHTEMO TOWNSHIP 00003,474
KALAMAZOO COUNTY OSHTEMO TOWNSHIP 00004,578
KALAMAZOO COUNTY OSHTEMO TOWNSHIP 00005,623
KALAMAZOO COUNTY OSHTEMO TOWNSHIP 00006,568
KALAMAZOO COUNTY OSHTEMO TOWNSHIP 00007,534
KALAMAZOO COUNTY OSHTEMO TOWNSHIP 00008,366
KALAMAZOO COUNTY OSHTEMO TOWNSHIP 00009,814
KALAMAZOO COUNTY OSHTEMO TOWNSHIP 00010,261
KALAMAZOO COUNTY PARCHMENT CITY 00001,441
KALAMAZOO COUNTY PAVILION TOWNSHIP 00001,609
KALAMAZOO COUNTY PAVILION TOWNSHIP 00002,332
KALAMAZOO COUNTY PAVILION TOWNSHIP 00003,530
KALAMAZOO COUNTY PORTAGE CITY 00001,498
KALAMAZOO COUNTY PORTAGE CITY 00002,556
KALAMAZOO COUNTY PORTAGE CITY 00003,608
KALAMAZOO COUNTY PORTAGE CITY 00004,492
KALAMAZOO COUNTY PORTAGE CITY 00005,482
KALAMAZOO COUNTY PORTAGE CITY 00006,574
KALAMAZOO COUNTY PORTAGE CITY 00007,374
KALAMAZOO COUNTY PORTAGE CITY 00008,560
KALAMAZOO COUNTY PORTAGE CITY 00009,464
KALAMAZOO COUNTY PORTAGE CITY 00010,670
KALAMAZOO COUNTY PORTAGE CITY 00011,653
KALAMAZOO COUNTY PORTAGE CITY 00012,641
KALAMAZOO COUNTY PORTAGE CITY 00013,845
KALAMAZOO COUNTY PORTAGE CITY 00014,513
KALAMAZOO COUNTY PORTAGE CITY 00015,564
KALAMAZOO COUNTY PORTAGE CITY 00016,737
KALAMAZOO COUNTY PORTAGE CITY 00017,552
KALAMAZOO COUNTY PORTAGE CITY 00018,568
KALAMAZOO COUNTY PORTAGE CITY 00019,559
KALAMAZOO COUNTY PORTAGE CITY 00020,482
KALAMAZOO COUNTY PRAIRIE RONDE TOWNSHIP 00001,571
KALAMAZOO COUNTY RICHLAND TOWNSHIP 00001,730
KALAMAZOO COUNTY RICHLAND TOWNSHIP 00002,497
KALAMAZOO COUNTY RICHLAND TOWNSHIP 00003,750
KALAMAZOO COUNTY ROSS TOWNSHIP 00001,651
KALAMAZOO COUNTY ROSS TOWNSHIP 00002,621
KALAMAZOO COUNTY SCHOOLCRAFT TOWNSHIP 00001,528
KALAMAZOO COUNTY SCHOOLCRAFT TOWNSHIP 00002,343
KALAMAZOO COUNTY SCHOOLCRAFT TOWNSHIP 00003,863
KALAMAZOO COUNTY SCHOOLCRAFT TOWNSHIP 00004,374
KALAMAZOO COUNTY TEXAS TOWNSHIP 00001,670
KALAMAZOO COUNTY TEXAS TOWNSHIP 00002,603
KALAMAZOO COUNTY TEXAS TOWNSHIP 00003,571
KALAMAZOO COUNTY TEXAS TOWNSHIP 00004,821
KALAMAZOO COUNTY TEXAS TOWNSHIP 00005,807
KALAMAZOO COUNTY TEXAS TOWNSHIP 00006,736
KALAMAZOO COUNTY WAKESHMA TOWNSHIP 00001,292
KALKASKA COUNTY BEAR LAKE TOWNSHIP 00001,216
KALKASKA COUNTY BLUE LAKE TOWNSHIP 00001,123
KALKASKA COUNTY BOARDMAN TOWNSHIP 00001,399
KALKASKA COUNTY CLEARWATER TOWNSHIP 00001,669
KALKASKA COUNTY COLDSPRINGS TOWNSHIP 00001,387
KALKASKA COUNTY EXCELSIOR TOWNSHIP 00001,235
KALKASKA COUNTY GARFIELD TOWNSHIP 00001,231
KALKASKA COUNTY KALKASKA TOWNSHIP 00001,625
KALKASKA COUNTY KALKASKA TOWNSHIP 00002,611
KALKASKA COUNTY OLIVER TOWNSHIP 00001,76
KALKASKA COUNTY ORANGE TOWNSHIP 00001,324
KALKASKA COUNTY RAPID RIVER TOWNSHIP 00001,333
KALKASKA COUNTY SPRINGFIELD TOWNSHIP 00001,379
KENT COUNTY ADA TOWNSHIP 00001,376
KENT COUNTY ADA TOWNSHIP 00002,688
KENT COUNTY ADA TOWNSHIP 00003,403
KENT COUNTY ADA TOWNSHIP 00004,326
KENT COUNTY ADA TOWNSHIP 00005,597
KENT COUNTY ADA TOWNSHIP 00006,289
KENT COUNTY ADA TOWNSHIP 00007,334
KENT COUNTY ADA TOWNSHIP 00008,344
KENT COUNTY ALGOMA TOWNSHIP 00001,385
KENT COUNTY ALGOMA TOWNSHIP 00002,466
KENT COUNTY ALGOMA TOWNSHIP 00003,495
KENT COUNTY ALGOMA TOWNSHIP 00004,537
KENT COUNTY ALGOMA TOWNSHIP 00005,692
KENT COUNTY ALPINE TOWNSHIP 00001,332
KENT COUNTY ALPINE TOWNSHIP 00002,408
KENT COUNTY ALPINE TOWNSHIP 00003,673
KENT COUNTY ALPINE TOWNSHIP 00004,673
KENT COUNTY ALPINE TOWNSHIP 00005,305
KENT COUNTY ALPINE TOWNSHIP 00006,593
KENT COUNTY BOWNE TOWNSHIP 00001,727
KENT COUNTY BYRON TOWNSHIP 00001,756
KENT COUNTY BYRON TOWNSHIP 00002,814
KENT COUNTY BYRON TOWNSHIP 00003,881
KENT COUNTY BYRON TOWNSHIP 00004,603
KENT COUNTY BYRON TOWNSHIP 00005,734
KENT COUNTY BYRON TOWNSHIP 00006,457
KENT COUNTY BYRON TOWNSHIP 00007,725
KENT COUNTY BYRON TOWNSHIP 00008,678
KENT COUNTY CALEDONIA TOWNSHIP 00001,359
KENT COUNTY CALEDONIA TOWNSHIP 00002,656
KENT COUNTY CALEDONIA TOWNSHIP 00003,639
KENT COUNTY CALEDONIA TOWNSHIP 00004,403
KENT COUNTY CALEDONIA TOWNSHIP 00005,743
KENT COUNTY CALEDONIA TOWNSHIP 00006,598
KENT COUNTY CANNON TOWNSHIP 00001,626
KENT COUNTY CANNON TOWNSHIP 00002,594
KENT COUNTY CANNON TOWNSHIP 00003,479
KENT COUNTY CANNON TOWNSHIP 00004,710
KENT COUNTY CANNON TOWNSHIP 00005,480
KENT COUNTY CANNON TOWNSHIP 00006,572
KENT COUNTY CASCADE TOWNSHIP 00001,428
KENT COUNTY CASCADE TOWNSHIP 00002,501
KENT COUNTY CASCADE TOWNSHIP 00003,344
KENT COUNTY CASCADE TOWNSHIP 00004,492
KENT COUNTY CASCADE TOWNSHIP 00005,698
KENT COUNTY CASCADE TOWNSHIP 00006,451
KENT COUNTY CASCADE TOWNSHIP 00007,392
KENT COUNTY CASCADE TOWNSHIP 00008,395
KENT COUNTY CASCADE TOWNSHIP 00009,425
KENT COUNTY CASCADE TOWNSHIP 00010,402
KENT COUNTY CEDAR SPRINGS CITY 00001,711
KENT COUNTY COURTLAND TOWNSHIP 00001,630
KENT COUNTY COURTLAND TOWNSHIP 00002,694
KENT COUNTY COURTLAND TOWNSHIP 00003,698
KENT COUNTY EAST GRAND RAPIDS CITY 01001,469
KENT COUNTY EAST GRAND RAPIDS CITY 01002,440
KENT COUNTY EAST GRAND RAPIDS CITY 02003,464
KENT COUNTY EAST GRAND RAPIDS CITY 02004,420
KENT COUNTY EAST GRAND RAPIDS CITY 03005,450
KENT COUNTY EAST GRAND RAPIDS CITY 03006,464
KENT COUNTY GAINES TOWNSHIP 00001,662
KENT COUNTY GAINES TOWNSHIP 00002,494
KENT COUNTY GAINES TOWNSHIP 00003,668
KENT COUNTY GAINES TOWNSHIP 00004,929
KENT COUNTY GAINES TOWNSHIP 00005,596
KENT COUNTY GAINES TOWNSHIP 00006,593
KENT COUNTY GAINES TOWNSHIP 00007,788
KENT COUNTY GAINES TOWNSHIP 00008,721
KENT COUNTY GAINES TOWNSHIP 00009,542
KENT COUNTY GRAND RAPIDS CITY 01001,770
KENT COUNTY GRAND RAPIDS CITY 01002,421
KENT COUNTY GRAND RAPIDS CITY 01003,613
KENT COUNTY GRAND RAPIDS CITY 01004,539
KENT COUNTY GRAND RAPIDS CITY 01005,418
KENT COUNTY GRAND RAPIDS CITY 01006,660
KENT COUNTY GRAND RAPIDS CITY 01008,386
KENT COUNTY GRAND RAPIDS CITY 01009,882
KENT COUNTY GRAND RAPIDS CITY 01010,531
KENT COUNTY GRAND RAPIDS CITY 01011,519
KENT COUNTY GRAND RAPIDS CITY 01012,610
KENT COUNTY GRAND RAPIDS CITY 01013,697
KENT COUNTY GRAND RAPIDS CITY 01014,653
KENT COUNTY GRAND RAPIDS CITY 01015,630
KENT COUNTY GRAND RAPIDS CITY 01016,659
KENT COUNTY GRAND RAPIDS CITY 01017,730
KENT COUNTY GRAND RAPIDS CITY 01018,375
KENT COUNTY GRAND RAPIDS CITY 01019,666
KENT COUNTY GRAND RAPIDS CITY 01020,655
KENT COUNTY GRAND RAPIDS CITY 01021,549
KENT COUNTY GRAND RAPIDS CITY 01022,232
KENT COUNTY GRAND RAPIDS CITY 01023,553
KENT COUNTY GRAND RAPIDS CITY 01024,568
KENT COUNTY GRAND RAPIDS CITY 02025,402
KENT COUNTY GRAND RAPIDS CITY 02026,516
KENT COUNTY GRAND RAPIDS CITY 02027,397
KENT COUNTY GRAND RAPIDS CITY 02028,624
KENT COUNTY GRAND RAPIDS CITY 02029,599
KENT COUNTY GRAND RAPIDS CITY 02030,514
KENT COUNTY GRAND RAPIDS CITY 02031,705
KENT COUNTY GRAND RAPIDS CITY 02032,464
KENT COUNTY GRAND RAPIDS CITY 02033,301
KENT COUNTY GRAND RAPIDS CITY 02034,658
KENT COUNTY GRAND RAPIDS CITY 02035,590
KENT COUNTY GRAND RAPIDS CITY 02036,315
KENT COUNTY GRAND RAPIDS CITY 02037,758
KENT COUNTY GRAND RAPIDS CITY 02038,895
KENT COUNTY GRAND RAPIDS CITY 02039,319
KENT COUNTY GRAND RAPIDS CITY 02040,579
KENT COUNTY GRAND RAPIDS CITY 02041,751
KENT COUNTY GRAND RAPIDS CITY 02042,580
KENT COUNTY GRAND RAPIDS CITY 02043,547
KENT COUNTY GRAND RAPIDS CITY 02044,580
KENT COUNTY GRAND RAPIDS CITY 02045,643
KENT COUNTY GRAND RAPIDS CITY 02046,708
KENT COUNTY GRAND RAPIDS CITY 02047,516
KENT COUNTY GRAND RAPIDS CITY 02048,485
KENT COUNTY GRAND RAPIDS CITY 02049,638
KENT COUNTY GRAND RAPIDS CITY 02050,740
KENT COUNTY GRAND RAPIDS CITY 03051,549
KENT COUNTY GRAND RAPIDS CITY 03052,284
KENT COUNTY GRAND RAPIDS CITY 03053,874
KENT COUNTY GRAND RAPIDS CITY 03054,454
KENT COUNTY GRAND RAPIDS CITY 03055,655
KENT COUNTY GRAND RAPIDS CITY 03056,603
KENT COUNTY GRAND RAPIDS CITY 03057,379
KENT COUNTY GRAND RAPIDS CITY 03058,571
KENT COUNTY GRAND RAPIDS CITY 03059,728
KENT COUNTY GRAND RAPIDS CITY 03060,742
KENT COUNTY GRAND RAPIDS CITY 03061,279
KENT COUNTY GRAND RAPIDS CITY 03062,556
KENT COUNTY GRAND RAPIDS CITY 03063,564
KENT COUNTY GRAND RAPIDS CITY 03064,625
KENT COUNTY GRAND RAPIDS CITY 03065,618
KENT COUNTY GRAND RAPIDS CITY 03066,735
KENT COUNTY GRAND RAPIDS CITY 03067,865
KENT COUNTY GRAND RAPIDS CITY 03068,496
KENT COUNTY GRAND RAPIDS CITY 03069,406
KENT COUNTY GRAND RAPIDS CITY 03070,563
KENT COUNTY GRAND RAPIDS CITY 03071,509
KENT COUNTY GRAND RAPIDS CITY 03072,266
KENT COUNTY GRAND RAPIDS CITY 03073,349
KENT COUNTY GRAND RAPIDS CITY 03074,421
KENT COUNTY GRAND RAPIDS CITY 03075,385
KENT COUNTY GRAND RAPIDS CITY 03076,489
KENT COUNTY GRAND RAPIDS CITY 03077,400
KENT COUNTY GRAND RAPIDS CHARTER TOWNSHIP 00001,451
KENT COUNTY GRAND RAPIDS CHARTER TOWNSHIP 00002,315
KENT COUNTY GRAND RAPIDS CHARTER TOWNSHIP 00003,551
KENT COUNTY GRAND RAPIDS CHARTER TOWNSHIP 00004,567
KENT COUNTY GRAND RAPIDS CHARTER TOWNSHIP 00005,570
KENT COUNTY GRAND RAPIDS CHARTER TOWNSHIP 00006,528
KENT COUNTY GRAND RAPIDS CHARTER TOWNSHIP 00007,314
KENT COUNTY GRAND RAPIDS CHARTER TOWNSHIP 00008,549
KENT COUNTY GRAND RAPIDS CHARTER TOWNSHIP 00009,365
KENT COUNTY GRANDVILLE CITY 00001,552
KENT COUNTY GRANDVILLE CITY 00002,623
KENT COUNTY GRANDVILLE CITY 00003,656
KENT COUNTY GRANDVILLE CITY 00004,593
KENT COUNTY GRANDVILLE CITY 00005,655
KENT COUNTY GRANDVILLE CITY 00006,526
KENT COUNTY GRATTAN TOWNSHIP 00001,472
KENT COUNTY GRATTAN TOWNSHIP 00002,491
KENT COUNTY KENTWOOD CITY 01001,646
KENT COUNTY KENTWOOD CITY 01002,860
KENT COUNTY KENTWOOD CITY 01003,475
KENT COUNTY KENTWOOD CITY 01004,432
KENT COUNTY KENTWOOD CITY 01005,361
KENT COUNTY KENTWOOD CITY 01006,719
KENT COUNTY KENTWOOD CITY 01007,608
KENT COUNTY KENTWOOD CITY 01008,715
KENT COUNTY KENTWOOD CITY 01009,673
KENT COUNTY KENTWOOD CITY 02010,675
KENT COUNTY KENTWOOD CITY 02011,875
KENT COUNTY KENTWOOD CITY 02012,493
KENT COUNTY KENTWOOD CITY 02013,632
KENT COUNTY KENTWOOD CITY 02014,251
KENT COUNTY KENTWOOD CITY 02015,874
KENT COUNTY KENTWOOD CITY 02016,801
KENT COUNTY KENTWOOD CITY 02017,509
KENT COUNTY KENTWOOD CITY 02018,648
KENT COUNTY LOWELL CITY 00001,483
KENT COUNTY LOWELL CITY 00002,440
KENT COUNTY LOWELL TOWNSHIP 00001,740
KENT COUNTY LOWELL TOWNSHIP 00002,716
KENT COUNTY NELSON TOWNSHIP 00001,592
KENT COUNTY NELSON TOWNSHIP 00002,492
KENT COUNTY OAKFIELD TOWNSHIP 00001,473
KENT COUNTY OAKFIELD TOWNSHIP 00002,557
KENT COUNTY OAKFIELD TOWNSHIP 00003,410
KENT COUNTY PLAINFIELD TOWNSHIP 00001,812
KENT COUNTY PLAINFIELD TOWNSHIP 00002,710
KENT COUNTY PLAINFIELD TOWNSHIP 00003,640
KENT COUNTY PLAINFIELD TOWNSHIP 00004,704
KENT COUNTY PLAINFIELD TOWNSHIP 00005,644
KENT COUNTY PLAINFIELD TOWNSHIP 00006,935
KENT COUNTY PLAINFIELD TOWNSHIP 00007,851
KENT COUNTY PLAINFIELD TOWNSHIP 00008,843
KENT COUNTY PLAINFIELD TOWNSHIP 00009,760
KENT COUNTY PLAINFIELD TOWNSHIP 00010,540
KENT COUNTY PLAINFIELD TOWNSHIP 00011,518
KENT COUNTY ROCKFORD CITY 00001,567
KENT COUNTY ROCKFORD CITY 00002,773
KENT COUNTY SOLON TOWNSHIP 00001,563
KENT COUNTY SOLON TOWNSHIP 00002,863
KENT COUNTY SPARTA TOWNSHIP 00001,922
KENT COUNTY SPARTA TOWNSHIP 00002,482
KENT COUNTY SPARTA TOWNSHIP 00003,604
KENT COUNTY SPENCER TOWNSHIP 00001,568
KENT COUNTY SPENCER TOWNSHIP 00002,375
KENT COUNTY TYRONE TOWNSHIP 00001,549
KENT COUNTY TYRONE TOWNSHIP 00002,435
KENT COUNTY VERGENNES TOWNSHIP 00001,582
KENT COUNTY VERGENNES TOWNSHIP 00002,504
KENT COUNTY WALKER CITY 01001,644
KENT COUNTY WALKER CITY 01002,531
KENT COUNTY WALKER CITY 01003,616
KENT COUNTY WALKER CITY 02004,701
