Medium Election,5.2.16.1,,,,,,,,,,,
,,,,,,,,Lord of Coin (Vote For=1),Lord of Coin (Vote For=1),Lord of Coin (Vote For=1),Lord of Coin (Vote For=1),Lord of Coin (Vote For=1)
1440,Tabulator B,Batch 2,342,Tabulator B-Batch 2-342,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1441,Tabulator B,Batch 2,343,Tabulator B-Batch 2-343,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1442,Tabulator B,Batch 2,344,Tabulator B-Batch 2-344,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1443,Tabulator B,Batch 2,345,Tabulator B-Batch 2-345,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1444,Tabulator B,Batch 2,346,Tabulator B-Batch 2-346,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1445,Tabulator B,Batch 2,347,Tabulator B-Batch 2-347,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1446,Tabulator B,Batch 2,348,Tabulator B-Batch 2-348,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1447,Tabulator B,Batch 2,349,Tabulator B-Batch 2-349,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1448,Tabulator B,Batch 2,350,Tabulator B-Batch 2-350,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1449,Tabulator B,Batch 2,351,Tabulator B-Batch 2-351,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1450,Tabulator B,Batch 2,352,Tabulator B-Batch 2-352,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1451,Tabulator B,Batch 2,353,Tabulator B-Batch 2-353,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1452,Tabulator B,Batch 2,354,Tabulator B-Batch 2-354,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1453,Tabulator B,Batch 2,355,Tabulator B-Batch 2-355,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1454,Tabulator B,Batch 2,356,Tabulator B-Batch 2-356,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1455,Tabulator B,Batch 2,357,Tabulator B-Batch 2-357,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1
1456,Tabulator B,Batch 2,358,Tabulator B-Batch 2-358,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1457,Tabulator B,Batch 2,359,Tabulator B-Batch 2-359,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1458,Tabulator B,Batch 2,360,Tabulator B-Batch 2-360,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1459,Tabulator B,Batch 2,361,Tabulator B-Batch 2-361,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1460,Tabulator B,Batch 2,362,Tabulator B-Batch 2-362,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1461,Tabulator B,Batch 2,363,Tabulator B-Batch 2-363,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1462,Tabulator B,Batch 2,364,Tabulator B-Batch 2-364,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1463,Tabulator B,Batch 2,365,Tabulator B-Batch 2-365,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1464,Tabulator B,Batch 2,366,Tabulator B-Batch 2-366,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1
1465,Tabulator B,Batch 2,367,Tabulator B-Batch 2-367,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1466,Tabulator B,Batch 2,368,Tabulator B-Batch 2-368,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1467,Tabulator B,Batch 2,369,Tabulator B-Batch 2-369,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1468,Tabulator B,Batch 2,370,Tabulator B-Batch 2-370,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1469,Tabulator B,Batch 2,371,Tabulator B-Batch 2-371,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1470,Tabulator B,Batch 2,372,Tabulator B-Batch 2-372,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1471,Tabulator B,Batch 2,373,Tabulator B-Batch 2-373,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1472,Tabulator B,Batch 2,374,Tabulator B-Batch 2-374,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1473,Tabulator B,Batch 2,375,Tabulator B-Batch 2-375,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1474,Tabulator B,Batch 2,376,Tabulator B-Batch 2-376,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1475,Tabulator B,Batch 2,377,Tabulator B-Batch 2-377,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1476,Tabulator B,Batch 2,378,Tabulator B-Batch 2-378,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1477,Tabulator B,Batch 2,379,Tabulator B-Batch 2-379,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1478,Tabulator B,Batch 2,380,Tabulator B-Batch 2-380,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1479,Tabulator B,Batch 2,381,Tabulator B-Batch 2-381,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1480,Tabulator B,Batch 2,382,Tabulator B-Batch 2-382,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1481,Tabulator B,Batch 2,383,Tabulator B-Batch 2-383,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1482,Tabulator B,Batch 2,384,Tabulator B-Batch 2-384,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1483,Tabulator B,Batch 2,385,Tabulator B-Batch 2-385,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1484,Tabulator B,Batch 2,386,Tabulator B-Batch 2-386,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1485,Tabulator B,Batch 2,387,Tabulator B-Batch 2-387,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1486,Tabulator B,Batch 2,388,Tabulator B-Batch 2-388,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1487,Tabulator B,Batch 2,389,Tabulator B-Batch 2-389,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1488,Tabulator B,Batch 2,390,Tabulator B-Batch 2-390,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1489,Tabulator B,Batch 2,391,Tabulator B-Batch 2-391,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1490,Tabulator B,Batch 2,392,Tabulator B-Batch 2-392,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1491,Tabulator B,Batch 2,393,Tabulator B-Batch 2-393,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1492,Tabulator B,Batch 2,394,Tabulator B-Batch 2-394,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1493,Tabulator B,Batch 2,395,Tabulator B-Batch 2-395,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1494,Tabulator B,Batch 2,396,Tabulator B-Batch 2-396,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1495,Tabulator B,Batch 2,397,Tabulator B-Batch 2-397,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1496,Tabulator B,Batch 2,398,Tabulator B-Batch 2-398,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1497,Tabulator B,Batch 2,399,Tabulator B-Batch 2-399,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1498,Tabulator B,Batch 2,400,Tabulator B-Batch 2-400,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
1499,Tabulator B,Batch 2,401,Tabulator B-Batch 2-401,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1500,Tabulator B,Batch 2,402,Tabulator B-Batch 2-402,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
1501,Tabulator B,Batch 2,403,Tabulator B-Batch 2-403,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1502,Tabulator B,Batch 2,404,Tabulator B-Batch 2-404,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1503,Tabulator B,Batch 2,405,Tabulator B-Batch 2-405,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1504,Tabulator B,Batch 2,406,Tabulator B-Batch 2-406,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1505,Tabulator B,Batch 2,407,Tabulator B-Batch 2-407,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1506,Tabulator B,Batch 2,408,Tabulator B-Batch 2-408,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1507,Tabulator B,Batch 2,409,Tabulator B-Batch 2-409,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
1508,Tabulator B,Batch 2,410,Tabulator B-Batch 2-410,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1509,Tabulator B,Batch 2,411,Tabulator B-Batch 2-411,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1510,Tabulator B,Batch 2,412,Tabulator B-Batch 2-412,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1511,Tabulator B,Batch 2,413,Tabulator B-Batch 2-413,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1512,Tabulator B,Batch 2,414,Tabulator B-Batch 2-414,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1513,Tabulator B,Batch 2,415,Tabulator B-Batch 2-415,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1514,Tabulator B,Batch 2,416,Tabulator B-Batch 2-416,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1515,Tabulator B,Batch 2,417,Tabulator B-Batch 2-417,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1516,Tabulator B,Batch 2,418,Tabulator B-Batch 2-418,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
1517,Tabulator B,Batch 2,419,Tabulator B-Batch 2-419,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1518,Tabulator B,Batch 2,420,Tabulator B-Batch 2-420,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1519,Tabulator B,Batch 2,421,Tabulator B-Batch 2-421,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1520,Tabulator B,Batch 2,422,Tabulator B-Batch 2-422,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1521,Tabulator B,Batch 2,423,Tabulator B-Batch 2-423,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
1522,Tabulator B,Batch 2,424,Tabulator B-Batch 2-424,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1523,Tabulator B,Batch 2,425,Tabulator B-Batch 2-425,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1524,Tabulator B,Batch 2,426,Tabulator B-Batch 2-426,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1525,Tabulator B,Batch 2,427,Tabulator B-Batch 2-427,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1526,Tabulator B,Batch 2,428,Tabulator B-Batch 2-428,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1527,Tabulator B,Batch 2,429,Tabulator B-Batch 2-429,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1528,Tabulator B,Batch 2,430,Tabulator B-Batch 2-430,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1529,Tabulator B,Batch 2,431,Tabulator B-Batch 2-431,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1530,Tabulator B,Batch 2,432,Tabulator B-Batch 2-432,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1531,Tabulator B,Batch 2,433,Tabulator B-Batch 2-433,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1532,Tabulator B,Batch 2,434,Tabulator B-Batch 2-434,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1533,Tabulator B,Batch 2,435,Tabulator B-Batch 2-435,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1534,Tabulator B,Batch 2,436,Tabulator B-Batch 2-436,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1535,Tabulator B,Batch 2,437,Tabulator B-Batch 2-437,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1536,Tabulator B,Batch 2,438,Tabulator B-Batch 2-438,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1537,Tabulator B,Batch 2,439,Tabulator B-Batch 2-439,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1538,Tabulator B,Batch 2,440,Tabulator B-Batch 2-440,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1539,Tabulator B,Batch 2,441,Tabulator B-Batch 2-441,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1540,Tabulator B,Batch 2,442,Tabulator B-Batch 2-442,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1541,Tabulator B,Batch 2,443,Tabulator B-Batch 2-443,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1542,Tabulator B,Batch 2,444,Tabulator B-Batch 2-444,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1543,Tabulator B,Batch 2,445,Tabulator B-Batch 2-445,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1544,Tabulator B,Batch 2,446,Tabulator B-Batch 2-446,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1545,Tabulator B,Batch 2,447,Tabulator B-Batch 2-447,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1546,Tabulator B,Batch 2,448,Tabulator B-Batch 2-448,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1547,Tabulator B,Batch 2,449,Tabulator B-Batch 2-449,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1548,Tabulator B,Batch 2,450,Tabulator B-Batch 2-450,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1549,Tabulator B,Batch 2,451,Tabulator B-Batch 2-451,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1550,Tabulator B,Batch 2,452,Tabulator B-Batch 2-452,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1551,Tabulator B,Batch 2,453,Tabulator B-Batch 2-453,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1552,Tabulator B,Batch 2,454,Tabulator B-Batch 2-454,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1553,Tabulator B,Batch 2,455,Tabulator B-Batch 2-455,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1554,Tabulator B,Batch 2,456,Tabulator B-Batch 2-456,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1555,Tabulator B,Batch 2,457,Tabulator B-Batch 2-457,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1556,Tabulator B,Batch 2,458,Tabulator B-Batch 2-458,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1557,Tabulator B,Batch 2,459,Tabulator B-Batch 2-459,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1558,Tabulator B,Batch 2,460,Tabulator B-Batch 2-460,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,1
1559,Tabulator B,Batch 2,461,Tabulator B-Batch 2-461,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1560,Tabulator B,Batch 2,462,Tabulator B-Batch 2-462,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1561,Tabulator B,Batch 2,463,Tabulator B-Batch 2-463,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1562,Tabulator B,Batch 2,464,Tabulator B-Batch 2-464,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1563,Tabulator B,Batch 2,465,Tabulator B-Batch 2-465,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1564,Tabulator B,Batch 2,466,Tabulator B-Batch 2-466,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1565,Tabulator B,Batch 2,467,Tabulator B-Batch 2-467,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1566,Tabulator B,Batch 2,468,Tabulator B-Batch 2-468,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1567,Tabulator B,Batch 2,469,Tabulator B-Batch 2-469,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1568,Tabulator B,Batch 2,470,Tabulator B-Batch 2-470,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1569,Tabulator B,Batch 2,471,Tabulator B-Batch 2-471,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1570,Tabulator B,Batch 2,472,Tabulator B-Batch 2-472,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1571,Tabulator B,Batch 2,473,Tabulator B-Batch 2-473,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1572,Tabulator B,Batch 2,474,Tabulator B-Batch 2-474,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1573,Tabulator B,Batch 2,475,Tabulator B-Batch 2-475,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1574,Tabulator B,Batch 2,476,Tabulator B-Batch 2-476,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1575,Tabulator B,Batch 2,477,Tabulator B-Batch 2-477,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1576,Tabulator B,Batch 2,478,Tabulator B-Batch 2-478,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1577,Tabulator B,Batch 2,479,Tabulator B-Batch 2-479,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1578,Tabulator B,Batch 2,480,Tabulator B-Batch 2-480,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1579,Tabulator B,Batch 2,481,Tabulator B-Batch 2-481,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1580,Tabulator B,Batch 2,482,Tabulator B-Batch 2-482,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1581,Tabulator B,Batch 2,483,Tabulator B-Batch 2-483,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1582,Tabulator B,Batch 2,484,Tabulator B-Batch 2-484,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1583,Tabulator B,Batch 2,485,Tabulator B-Batch 2-485,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1584,Tabulator B,Batch 2,486,Tabulator B-Batch 2-486,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1585,Tabulator B,Batch 2,487,Tabulator B-Batch 2-487,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1586,Tabulator B,Batch 2,488,Tabulator B-Batch 2-488,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1587,Tabulator B,Batch 2,489,Tabulator B-Batch 2-489,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1588,Tabulator B,Batch 2,490,Tabulator B-Batch 2-490,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1589,Tabulator B,Batch 2,491,Tabulator B-Batch 2-491,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1590,Tabulator B,Batch 2,492,Tabulator B-Batch 2-492,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1591,Tabulator B,Batch 2,493,Tabulator B-Batch 2-493,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1592,Tabulator B,Batch 2,494,Tabulator B-Batch 2-494,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1593,Tabulator B,Batch 2,495,Tabulator B-Batch 2-495,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1594,Tabulator B,Batch 2,496,Tabulator B-Batch 2-496,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1595,Tabulator B,Batch 2,497,Tabulator B-Batch 2-497,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1596,Tabulator B,Batch 2,498,Tabulator B-Batch 2-498,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1597,Tabulator B,Batch 2,499,Tabulator B-Batch 2-499,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1598,Tabulator B,Batch 2,500,Tabulator B-Batch 2-500,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1599,Tabulator B,Batch 2,501,Tabulator B-Batch 2-501,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1600,Tabulator B,Batch 2,502,Tabulator B-Batch 2-502,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1601,Tabulator B,Batch 2,503,Tabulator B-Batch 2-503,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1602,Tabulator B,Batch 2,504,Tabulator B-Batch 2-504,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1603,Tabulator B,Batch 2,505,Tabulator B-Batch 2-505,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1604,Tabulator B,Batch 2,506,Tabulator B-Batch 2-506,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1605,Tabulator B,Batch 2,507,Tabulator B-Batch 2-507,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1606,Tabulator B,Batch 2,508,Tabulator B-Batch 2-508,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1607,Tabulator B,Batch 2,509,Tabulator B-Batch 2-509,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1608,Tabulator B,Batch 2,510,Tabulator B-Batch 2-510,Election Day,precinct-portion-1,ballot-type-1,0,0,0,1,0
1609,Tabulator B,Batch 2,511,Tabulator B-Batch 2-511,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
1610,Tabulator B,Batch 2,512,Tabulator B-Batch 2-512,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1611,Tabulator B,Batch 2,513,Tabulator B-Batch 2-513,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1612,Tabulator B,Batch 2,514,Tabulator B-Batch 2-514,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1613,Tabulator B,Batch 2,515,Tabulator B-Batch 2-515,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
1614,Tabulator B,Batch 2,516,Tabulator B-Batch 2-516,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1615,Tabulator B,Batch 2,517,Tabulator B-Batch 2-517,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1616,Tabulator B,Batch 2,518,Tabulator B-Batch 2-518,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1617,Tabulator B,Batch 2,519,Tabulator B-Batch 2-519,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1618,Tabulator B,Batch 2,520,Tabulator B-Batch 2-520,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1619,Tabulator B,Batch 2,521,Tabulator B-Batch 2-521,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1620,Tabulator B,Batch 2,522,Tabulator B-Batch 2-522,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1621,Tabulator B,Batch 2,523,Tabulator B-Batch 2-523,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1622,Tabulator B,Batch 2,524,Tabulator B-Batch 2-524,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1623,Tabulator B,Batch 2,525,Tabulator B-Batch 2-525,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
1624,Tabulator B,Batch 2,526,Tabulator B-Batch 2-526,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1625,Tabulator B,Batch 2,527,Tabulator B-Batch 2-527,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1626,Tabulator B,Batch 2,528,Tabulator B-Batch 2-528,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1627,Tabulator B,Batch 2,529,Tabulator B-Batch 2-529,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1628,Tabulator B,Batch 2,530,Tabulator B-Batch 2-530,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1629,Tabulator B,Batch 2,531,Tabulator B-Batch 2-531,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1630,Tabulator B,Batch 2,532,Tabulator B-Batch 2-532,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1631,Tabulator B,Batch 2,533,Tabulator B-Batch 2-533,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1632,Tabulator B,Batch 2,534,Tabulator B-Batch 2-534,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1633,Tabulator B,Batch 2,535,Tabulator B-Batch 2-535,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1634,Tabulator B,Batch 2,536,Tabulator B-Batch 2-536,Election Day,precinct-portion-1,ballot-type-1,0,0,1,0,0
1635,Tabulator B,Batch 2,537,Tabulator B-Batch 2-537,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1636,Tabulator B,Batch 2,538,Tabulator B-Batch 2-538,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1637,Tabulator B,Batch 2,539,Tabulator B-Batch 2-539,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1638,Tabulator B,Batch 2,540,Tabulator B-Batch 2-540,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1639,Tabulator B,Batch 2,541,Tabulator B-Batch 2-541,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1640,Tabulator B,Batch 2,542,Tabulator B-Batch 2-542,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1641,Tabulator B,Batch 2,543,Tabulator B-Batch 2-543,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1642,Tabulator B,Batch 2,544,Tabulator B-Batch 2-544,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1643,Tabulator B,Batch 2,545,Tabulator B-Batch 2-545,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,1
1644,Tabulator B,Batch 2,546,Tabulator B-Batch 2-546,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1645,Tabulator B,Batch 2,547,Tabulator B-Batch 2-547,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1646,Tabulator B,Batch 2,548,Tabulator B-Batch 2-548,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1647,Tabulator B,Batch 2,549,Tabulator B-Batch 2-549,Election Day,precinct-portion-1,ballot-type-1,0,0,0,0,0
1648,Tabulator B,Batch 2,550,Tabulator B-Batch 2-550,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1649,Tabulator B,Batch 2,551,Tabulator B-Batch 2-551,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1650,Tabulator B,Batch 2,552,Tabulator B-Batch 2-552,Election Day,precinct-portion-1,ballot-type-1,0,1,0,0,0
1651,Tabulator B,Batch 2,553,Tabulator B-Batch 2-553,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
1652,Tabulator B,Batch 2,554,Tabulator B-Batch 2-554,Election Day,precinct-portion-1,ballot-type-1,1,0,0,0,0
