Small Election,5.2.16.1,,,,,,,,,,,,,,,,,
,,,,,,,,Minister of Farming (Vote For=1),Minister of Farming (Vote For=1),Minister of Farming (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Secretary of Treasure (Vote For=1),Secretary of Treasure (Vote For=1),Secretary of Treasure (Vote For=1)
191,Tabulator A,Batch 7,3,Tabulator A-Batch 7-3,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
192,Tabulator A,Batch 7,4,Tabulator A-Batch 7-4,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
193,Tabulator A,Batch 7,5,Tabulator A-Batch 7-5,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
194,Tabulator A,Batch 7,6,Tabulator A-Batch 7-6,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
195,Tabulator A,Batch 7,7,Tabulator A-Batch 7-7,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
196,Tabulator A,Batch 7,8,Tabulator A-Batch 7-8,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
197,Tabulator A,Batch 7,9,Tabulator A-Batch 7-9,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
198,Tabulator A,Batch 7,10,Tabulator A-Batch 7-10,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
199,Tabulator A,Batch 7,11,Tabulator A-Batch 7-11,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
200,Tabulator A,Batch 7,12,Tabulator A-Batch 7-12,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
201,Tabulator A,Batch 7,13,Tabulator A-Batch 7-13,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
202,Tabulator A,Batch 7,14,Tabulator A-Batch 7-14,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
203,Tabulator A,Batch 7,15,Tabulator A-Batch 7-15,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
204,Tabulator A,Batch 7,16,Tabulator A-Batch 7-16,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
205,Tabulator A,Batch 7,17,Tabulator A-Batch 7-17,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
206,Tabulator A,Batch 7,18,Tabulator A-Batch 7-18,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
207,Tabulator A,Batch 7,19,Tabulator A-Batch 7-19,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
208,Tabulator B,Batch 8,1,Tabulator B-Batch 8-1,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
209,Tabulator B,Batch 8,2,Tabulator B-Batch 8-2,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
210,Tabulator B,Batch 8,3,Tabulator B-Batch 8-3,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
211,Tabulator B,Batch 8,4,Tabulator B-Batch 8-4,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
212,Tabulator B,Batch 8,5,Tabulator B-Batch 8-5,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
213,Tabulator B,Batch 8,6,Tabulator B-Batch 8-6,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
214,Tabulator B,Batch 8,7,Tabulator B-Batch 8-7,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
215,Tabulator B,Batch 8,8,Tabulator B-Batch 8-8,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
216,Tabulator B,Batch 8,9,Tabulator B-Batch 8-9,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
217,Tabulator B,Batch 8,10,Tabulator B-Batch 8-10,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
218,Tabulator B,Batch 8,11,Tabulator B-Batch 8-11,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
219,Tabulator B,Batch 8,12,Tabulator B-Batch 8-12,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
220,Tabulator B,Batch 8,13,Tabulator B-Batch 8-13,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
221,Tabulator B,Batch 8,14,Tabulator B-Batch 8-14,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
222,Tabulator B,Batch 8,15,Tabulator B-Batch 8-15,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
223,Tabulator B,Batch 8,16,Tabulator B-Batch 8-16,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
224,Tabulator B,Batch 8,17,Tabulator B-Batch 8-17,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
225,Tabulator B,Batch 8,18,Tabulator B-Batch 8-18,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
226,Tabulator C,Batch 9,1,Tabulator C-Batch 9-1,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
227,Tabulator C,Batch 9,2,Tabulator C-Batch 9-2,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
228,Tabulator C,Batch 9,3,Tabulator C-Batch 9-3,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
229,Tabulator C,Batch 9,4,Tabulator C-Batch 9-4,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
230,Tabulator C,Batch 9,5,Tabulator C-Batch 9-5,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
231,Tabulator C,Batch 9,6,Tabulator C-Batch 9-6,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
232,Tabulator C,Batch 9,7,Tabulator C-Batch 9-7,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
233,Tabulator C,Batch 9,8,Tabulator C-Batch 9-8,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
234,Tabulator C,Batch 9,9,Tabulator C-Batch 9-9,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
235,Tabulator C,Batch 9,10,Tabulator C-Batch 9-10,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
236,Tabulator C,Batch 9,11,Tabulator C-Batch 9-11,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
237,Tabulator C,Batch 9,12,Tabulator C-Batch 9-12,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
238,Tabulator C,Batch 9,13,Tabulator C-Batch 9-13,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
239,Tabulator C,Batch 9,14,Tabulator C-Batch 9-14,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
240,Tabulator C,Batch 9,15,Tabulator C-Batch 9-15,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
241,Tabulator C,Batch 9,16,Tabulator C-Batch 9-16,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
242,Tabulator C,Batch 9,17,Tabulator C-Batch 9-17,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
243,Tabulator C,Batch 9,18,Tabulator C-Batch 9-18,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
244,Tabulator C,Batch 9,19,Tabulator C-Batch 9-19,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
245,Tabulator C,Batch 9,20,Tabulator C-Batch 9-20,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
246,Tabulator C,Batch 9,21,Tabulator C-Batch 9-21,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
247,Tabulator C,Batch 9,22,Tabulator C-Batch 9-22,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
248,Tabulator C,Batch 9,23,Tabulator C-Batch 9-23,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
249,Tabulator C,Batch 9,24,Tabulator C-Batch 9-24,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
250,Tabulator C,Batch 9,25,Tabulator C-Batch 9-25,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
251,Tabulator C,Batch 9,26,Tabulator C-Batch 9-26,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
252,Tabulator C,Batch 9,27,Tabulator C-Batch 9-27,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
253,Tabulator C,Batch 9,28,Tabulator C-Batch 9-28,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
254,Tabulator C,Batch 9,29,Tabulator C-Batch 9-29,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
255,Tabulator C,Batch 9,30,Tabulator C-Batch 9-30,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
256,Tabulator C,Batch 9,31,Tabulator C-Batch 9-31,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
257,Tabulator C,Batch 9,32,Tabulator C-Batch 9-32,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
258,Tabulator C,Batch 9,33,Tabulator C-Batch 9-33,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
259,Tabulator C,Batch 9,34,Tabulator C-Batch 9-34,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
260,Tabulator C,Batch 9,35,Tabulator C-Batch 9-35,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
261,Tabulator C,Batch 9,36,Tabulator C-Batch 9-36,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
262,Tabulator C,Batch 9,37,Tabulator C-Batch 9-37,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
263,Tabulator C,Batch 9,38,Tabulator C-Batch 9-38,Election Day,precinct-portion-1,ballot-type-1,,,,0,0,0,0,0,,,
264,Tabulator C,Batch 9,39,Tabulator C-Batch 9-39,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
265,Tabulator C,Batch 9,40,Tabulator C-Batch 9-40,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
266,Tabulator C,Batch 9,41,Tabulator C-Batch 9-41,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
267,Tabulator A,Batch 10,1,Tabulator A-Batch 10-1,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
268,Tabulator A,Batch 10,2,Tabulator A-Batch 10-2,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
269,Tabulator A,Batch 10,3,Tabulator A-Batch 10-3,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
270,Tabulator A,Batch 10,4,Tabulator A-Batch 10-4,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
271,Tabulator A,Batch 10,5,Tabulator A-Batch 10-5,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
272,Tabulator A,Batch 10,6,Tabulator A-Batch 10-6,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
273,Tabulator A,Batch 10,7,Tabulator A-Batch 10-7,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
274,Tabulator A,Batch 10,8,Tabulator A-Batch 10-8,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
275,Tabulator A,Batch 10,9,Tabulator A-Batch 10-9,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
276,Tabulator A,Batch 10,10,Tabulator A-Batch 10-10,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
277,Tabulator A,Batch 10,11,Tabulator A-Batch 10-11,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
278,Tabulator A,Batch 10,12,Tabulator A-Batch 10-12,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
279,Tabulator A,Batch 10,13,Tabulator A-Batch 10-13,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
280,Tabulator A,Batch 10,14,Tabulator A-Batch 10-14,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
